fitness_sharpe_fixed_threshold,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time,fitness_avg_pic_train,fitness_avg_pic_test,fitness_avg_sic_train,fitness_avg_sic_test,fitness_calmar_train,fitness_calmar_test,fitness_sharp_train,fitness_sharp_test,fitness_sharpe_fixed_threshold_train,fitness_sharpe_fixed_threshold_test,fitness_sharpe_std_threshold_train,fitness_sharpe_std_threshold_test,fitness_max_dd_train,fitness_max_dd_test,fitness_avg_mdd_train,fitness_avg_mdd_test,fitness_max_ic_train,fitness_max_ic_test,max_ic_train_check,given_ic_test
,ts_argrange_20(ta_mom_12(ts_kurt_40(bar_gof_by_count_w10_trend))),3,4,alpha_2911,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.0807876587649693,-0.14066359714601587,0.05378712976539709,-0.08071775944420322,117.17050162157366,-31.950976744511483,8.94324553750849,-15.861677302975373,,,,,-0.04509229207340967,-0.3825660087144922,-0.026073016395269107,-0.10319332003336776,0.25420550999999997,0.08660251,0.25420550999999997,0.4548229548229548
,"ta_dx_14(ta_dema_8(ta_tema_8(ta_tema_8(ts_prod_3(bar_ofi_signed_quote_sum_w10_std)))), ts_lag_8(ta_lr_angle_5(ta_tsf_20(bar_gof_by_volume_w10_std))), ta_lr_angle_10(bar_ofi_signed_quote_sum_w10_mean))",5,12,alpha_2912,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.03442994807328438,-0.10628458308245928,0.0076866748610635045,-0.05583239253148068,-14.710972724624817,-30.75887386787082,-4.074352267322756,-5.305960397259592,,,,,-0.23519227387438468,-0.328808540543316,-0.060223724236988484,-0.14154235420042466,0.13650451,0.2451055,0.13650451,-0.047694334650856374
,"ta_beta_5(bar_ofi_signed_quote_sum_w10_zscore, ts_range_20(mul(bar_ofi_signed_quote_sum_w10_zscore, max(ts_mean_return_5(bar_ofi_signed_quote_sum_w10_zscore), bar_ofi_signed_quote_sum_w10_std))))",5,9,alpha_2913,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.02830658797958501,-0.10959860755399169,0.024920139650033573,-0.1223061224489796,35.160160267675614,-38.03211987427842,4.772323219458999,-7.550757707358531,,,,,-0.1329039019908179,-0.13906452711754277,-0.045244434356155785,-0.043011031613032276,0.15930450999999998,0.1824025,0.15930450999999998,0.052503052503052504
,"ta_aroonosc_14(ts_lag_8(ts_argmin_10(ts_prod_17(bar_ofi_signed_quote_sum_w10_trend))), ta_cmo_25(ta_ema_55(ta_trix_55(bar_gof_by_count_w10_std))))",4,9,alpha_2914,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.13124069381336032,0.08469765837962565,-0.1267429236168514,0.10432392147110174,-14.968158753514523,3.559058102169416,-4.231641964105431,0.5341733529882744,,,,,-0.27605856929399775,-0.16821749263153193,-0.08392274321240042,-0.05972944966097167,0.1825055,0.0649035,0.1825055,0.24040973736810928
,"ts_argmin_5(ts_prod_8(ts_min_5(ta_trima_21(TS_CORR_20(ts_max_5(ts_rank_20(bar_ofi_signed_qty_sum_w10_std)), sqrt(neg(bar_ofi_signed_quote_sum_w10_std)))))))",7,11,alpha_2915,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.11435928708003902,0.1481727008082278,0.06601194607674747,0.15080026052974385,32.21404905597293,54.65813429416061,4.749361538614792,7.585330303628832,,,,,-0.16870142408079974,-0.15944588658448802,-0.06035510515330415,-0.06806824861269646,0.030102499999999997,0.2574035,0.030102499999999997,-0.04912023460410556
,"ta_cmo_14(TS_CORR_40(ts_skew_20(ts_std_20(bar_ofi_signed_quote_sum_w10_std)), ta_trix_21(ta_dema_21(ta_dema_8(bar_ofi_signed_quote_sum_w10_trend)))))",5,9,alpha_2916,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,,-0.03935307169565405,,-0.0004498480243161088,-12.35468058051331,-15.654032514708518,-2.5013526897578093,-3.5570004941436224,,,,,-0.19069718518325124,-0.23905718963981692,-0.055160338972056876,-0.10762984713960388,0.040605499999999996,0.1315055,0.040605499999999996,-0.004799010513296227
,ts_delta_17(ts_prod_8(ta_lr_angle_10(bar_ofi_signed_quote_sum_w10_zscore))),3,4,alpha_2917,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.08545083235807191,-0.017808584501952707,-0.06135723937592554,0.043166739036039944,-44.662627108994315,-9.551373498586873,-8.769740613261439,-2.3993829505746396,,,,,-0.0599718467043195,-0.12211676076390984,-0.023317110779193025,-0.028478024006302248,0.2404055,0.017505500000000004,0.2404055,0.07538461538461538
,ts_argmax_5(sqrt(bar_ofi_signed_quote_sum_w10_zscore)),2,3,alpha_2918,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.03962652316702118,0.01957568736662532,0.03903356728654634,0.001278766825879285,1.6255442976367431,5.706429836701704,0.3287570873713927,0.6267527078866545,,,,,-0.2245103903581522,-0.1903352474275033,-0.0725557176302495,-0.1130082355542625,0.13470250999999997,0.09190451,0.13470250999999997,-0.14564421086160217
,ta_lr_slope_10(ta_rsi_24(ts_kurt_20(bar_gof_by_count_w10_std))),3,4,alpha_2919,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.063263214335202,-0.13600953277879216,-0.03671479065568719,-0.10615284411636994,12.41827476854938,-15.777061698751925,1.820319945843587,-5.50057194511188,,,,,-0.04384741312883329,-0.3017609576358116,-0.0139618169227325,-0.06928122744579308,0.16630251,0.1416045,0.16630251,-0.03153846153846154
,ta_trix_8(ts_kurt_20(ts_max_5(bar_gof_by_volume_w10_std))),3,4,alpha_2920,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.024289286176108073,-0.001999292191750879,-0.016573898574895683,-0.012345201910551457,-28.12686714941956,60.33447605572203,-7.117574570872708,4.364930489517053,,,,,-0.11424448196919405,-0.025204558350587224,-0.025594389344703004,-0.006980204774516402,0.031104510000000002,0.22840149999999998,0.031104510000000002,0.02189685314685315
,"neg(ts_argmin_5(ts_wma_21(TA_TRANGE(ta_dema_8(bar_ofi_signed_quote_sum_w10_std), ta_lr_slope_10(bar_ofi_signed_quote_sum_w10_quantile), ts_range_20(bar_ofi_signed_quote_sum_w10_std)))))",5,10,alpha_2921,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.06438767307731372,-0.009918969974246083,0.026127650648948918,-0.048963091619626566,20.769642471411277,-6.6327455815311405,3.483216329793156,-1.3552643126506323,,,,,-0.18146756365046982,-0.2932053160516744,-0.07123596823835185,-0.10465842828515606,0.21750450999999998,0.14800450999999998,0.21750450999999998,0.1127199558115679
,ts_skew_20(ts_min_20(ts_range_20(ta_tema_8(abs(bar_ofi_signed_quote_sum_w10_mean))))),5,6,alpha_2922,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,,-0.02369074730433155,,0.006726009552757273,-7.169228751554775,-19.79327094340812,-1.6121603556284165,-5.319405476993893,,,,,-0.1764106768064025,-0.24322498394807185,-0.048470167135873085,-0.0806836509511212,0.22210150999999997,0.1753015,0.22210150999999997,0.01976284584980237
,sin(ts_argmin_20(bar_ofi_signed_quote_sum_w10_trend)),2,3,alpha_2923,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.025720201892677163,0.19907349722211679,-0.07584147789644144,0.18963135041250542,-14.325022018512076,120.2867570116988,-3.983885872656568,11.166283928384296,,,,,-0.10433276708617714,-0.05013391242429514,-0.028186483127479445,-0.027271153153757065,0.40400351,0.21060351,0.40400351,0.0922348975887996
