,expression
246,ta_rocr_14(tanh(ta_cmo_14(bar_ofi_signed_quote_sum_w10_quantile)))
247,ts_mean_return_5(ta_cmo_14(ts_sum_17(ta_trix_8(ts_kurt_20(bar_ofi_signed_quote_sum_w10_std)))))
248,"ta_cci_14(ts_std_40(ta_minus_di_25(ts_skew_10(TA_HT_DCPHASE(bar_ofi_signed_qty_sum_w10_std)), bar_gof_by_volume_w10_trend, ts_delta_17(ts_argmax_5(bar_ofi_signed_qty_sum_w10_trend)))), ta_atr_14(TA_HT_DCPERIOD(ta_cci_14(abs(bar_ofi_signed_quote_sum_w10_mean), ts_argmin_20(bar_gof_by_volume_w10_mean), TS_COV_20(bar_gof_by_volume_w10_trend, bar_ofi_signed_qty_sum_w10_mean))), TA_SAR(ta_tema_21(ta_rocp_25(bar_gof_by_count_w10_std)), ts_max_10(ta_tema_21(bar_ofi_signed_quote_sum_w10_momentum))), ta_trima_21(ta_dema_21(bar_ofi_signed_quote_sum_w10_quantile))), ts_argmin_5(bar_gof_by_volume_w10_mean))"
249,"ta_willr_14(bar_gof_by_volume_w10_trend, ta_tsf_5(ta_dema_55(ts_rank_5(bar_ofi_signed_qty_sum_w10_std))), bar_ofi_signed_quote_sum_w10_quantile)"
250,"sub(ta_tsf_5(ta_trix_55(bar_ofi_signed_quote_sum_w10_momentum)), ta_mom_25(ta_lr_slope_10(bar_ofi_signed_qty_sum_w10_std)))"
251,abs(ts_lag_8(bar_gof_by_count_w10_trend))
252,"ta_cci_14(ts_std_40(bar_gof_by_volume_w10_trend), TA_HT_DCPERIOD(bar_ofi_signed_qty_sum_w10_trend), ts_max_5(bar_gof_by_count_w10_mean))"
253,"TA_TRANGE(ta_rocr_25(ta_mfi_14(bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_trend, bar_gof_by_count_w10_std, bar_gof_by_volume_w10_std)), ta_aroonosc_14(ta_minus_di_14(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_mean, bar_gof_by_volume_w10_trend), ts_rank_5(bar_ofi_signed_quote_sum_w10_momentum)), ts_kurt_40(TS_COV_40(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_qty_sum_w10_std)))"
254,ts_rank_5(ts_std_20(bar_gof_by_count_w10_std))
255,ta_lr_intercept_10(ts_mean_return_5(bar_gof_by_volume_w10_mean))
256,ta_trix_8(ts_sma_8(ts_sma_8(ts_delta_8(bar_ofi_signed_qty_sum_w10_mean))))
257,"abs(ts_rank_20(ts_skew_10(TS_CORR_20(ta_rocr_14(bar_ofi_signed_qty_sum_w10_trend), ta_aroonosc_25(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_std)))))"
258,"sub(ts_range_5(ts_wma_55(ta_minus_di_14(bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_zscore))), ta_dema_8(ts_mean_return_10(ts_std_20(bar_gof_by_volume_w10_mean))))"
259,"ta_beta_5(ta_rocp_14(bar_ofi_signed_quote_sum_w10_std), ts_mean_return_20(bar_ofi_signed_qty_sum_w10_trend))"
260,ta_mom_12(ts_mean_return_10(ta_dema_8(bar_ofi_signed_quote_sum_w10_momentum)))
261,ts_argrange_5(ts_argmax_20(bar_ofi_signed_quote_sum_w10_trend))
262,ta_rocr_14(ts_sma_55(ts_kurt_40(ts_prod_8(ta_lr_angle_20(bar_ofi_signed_quote_sum_w10_mean)))))
263,ta_lr_slope_10(ts_skew_20(ta_dema_21(bar_ofi_signed_qty_sum_w10_trend)))
264,"ta_cci_14(ts_skew_40(ta_cci_14(bar_gof_by_volume_w10_trend, bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_trend)), ta_cmo_25(ta_ema_55(bar_ofi_signed_qty_sum_w10_trend)), ts_sum_3(ta_cci_25(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_momentum, bar_gof_by_volume_w10_trend)))"
265,"ts_kurt_10(TA_SAR(ts_rank_20(bar_gof_by_count_w10_trend), TA_HT_DCPERIOD(bar_gof_by_count_w10_mean)))"
266,ts_argmin_10(TA_HT_DCPHASE(bar_ofi_signed_quote_sum_w10_quantile))
267,ta_rocp_25(ta_lr_intercept_10(bar_ofi_signed_quote_sum_w10_trend))
268,"ts_argrange_5(ta_beta_5(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_qty_sum_w10_std))"
269,elu(ts_kurt_10(ta_ema_8(ts_std_20(bar_gof_by_count_w10_mean))))
270,"ts_lag_17(min(bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_zscore))"
271,ta_rocr_25(ts_delta_17(bar_ofi_signed_quote_sum_w10_quantile))
272,"ts_skew_10(ta_minus_di_14(ta_minus_dm_25(ts_std_10(bar_ofi_signed_quote_sum_w10_trend), ta_dema_21(bar_ofi_signed_quote_sum_w10_mean)), ts_min_5(ta_rsi_6(bar_gof_by_volume_w10_std)), ta_lr_angle_5(ts_range_10(bar_ofi_signed_quote_sum_w10_quantile))))"
273,"sub(ta_lr_slope_10(ts_argrange_10(ta_willr_14(ts_range_10(bar_ofi_signed_quote_sum_w10_quantile), ts_argrange_10(bar_ofi_signed_qty_sum_w10_mean), ta_tsf_20(bar_ofi_signed_quote_sum_w10_std)))), ta_cci_25(ts_rank_5(TA_TRANGE(ts_argmax_20(bar_ofi_signed_qty_sum_w10_trend), ta_rocr_14(bar_ofi_signed_qty_sum_w10_mean), mul(bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_zscore))), ts_min_10(TA_HT_DCPERIOD(ta_minus_dm_14(bar_gof_by_count_w10_mean, bar_gof_by_count_w10_trend))), ts_rank_5(TS_COV_40(ts_argrange_5(bar_gof_by_volume_w10_mean), ta_lr_intercept_5(bar_gof_by_volume_w10_std)))))"
274,"ta_lr_intercept_10(abs(div(ta_aroonosc_25(ta_beta_20(bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_zscore), ta_mom_12(bar_ofi_signed_quote_sum_w10_mean)), ta_rocr_25(ta_lr_intercept_10(bar_gof_by_count_w10_std)))))"
275,"tanh(ts_argrange_10(ts_argmax_10(ta_beta_10(bar_ofi_signed_quote_sum_w10_momentum, bar_gof_by_count_w10_trend))))"
276,ts_argmin_5(ts_max_20(bar_ofi_signed_quote_sum_w10_mean))
277,"ts_skew_20(min(ts_range_10(ts_lag_8(bar_gof_by_count_w10_trend)), tan(ts_prod_8(bar_ofi_signed_quote_sum_w10_quantile))))"
278,"ta_aroonosc_14(ta_mom_25(bar_gof_by_count_w10_mean), ts_mean_return_5(bar_ofi_signed_quote_sum_w10_quantile))"
279,"ta_beta_10(bar_gof_by_volume_w10_trend, cos(bar_gof_by_volume_w10_mean))"
280,"ta_cci_14(TS_COV_20(bar_ofi_signed_qty_sum_w10_mean, ta_willr_14(ts_argmax_5(ta_dema_8(bar_ofi_signed_quote_sum_w10_quantile)), ta_dx_14(bar_ofi_signed_qty_sum_w10_mean, ta_atr_25(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_trend, bar_gof_by_count_w10_std), ts_delta_8(bar_ofi_signed_quote_sum_w10_mean)), ta_lr_slope_20(ta_cmo_25(bar_gof_by_count_w10_mean)))), ts_prod_8(ta_tema_8(add(ts_argmin_20(bar_ofi_signed_quote_sum_w10_zscore), ta_lr_intercept_10(bar_ofi_signed_quote_sum_w10_zscore)))), ta_rocp_14(ta_trix_21(bar_gof_by_count_w10_std)))"
281,ta_lr_intercept_5(inv(ta_lr_slope_20(bar_gof_by_count_w10_mean)))
282,ts_kurt_10(ta_lr_intercept_5(ts_sum_3(bar_ofi_signed_quote_sum_w10_zscore)))
283,"ta_beta_10(ta_lr_intercept_20(bar_gof_by_count_w10_mean), bar_gof_by_volume_w10_mean)"
284,ta_rocp_14(abs(bar_ofi_signed_quote_sum_w10_quantile))
285,ts_delta_3(ts_kurt_10(bar_gof_by_count_w10_mean))
286,ta_lr_intercept_5(ts_lag_8(bar_ofi_signed_quote_sum_w10_quantile))
287,"ta_beta_5(ts_argrange_20(bar_ofi_signed_qty_sum_w10_mean), ta_aroonosc_25(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_std))"
288,"ta_cci_25(log(ts_sma_55(ts_range_5(ts_argmax_10(bar_gof_by_count_w10_trend)))), ta_lr_angle_10(ts_wma_55(ts_argmax_10(ts_sma_55(bar_ofi_signed_quote_sum_w10_momentum)))), ta_minus_dm_14(ta_minus_di_25(ts_argrange_20(ts_argrange_10(bar_gof_by_count_w10_mean)), ta_beta_10(ta_mfi_25(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_count_w10_mean, bar_gof_by_volume_w10_mean, bar_ofi_signed_qty_sum_w10_mean), ts_skew_40(bar_ofi_signed_qty_sum_w10_trend)), ta_rocp_25(TA_HT_DCPHASE(bar_ofi_signed_quote_sum_w10_mean))), ta_tsf_10(ts_kurt_20(ts_rank_5(bar_gof_by_volume_w10_trend)))))"
289,ta_tsf_20(ta_lr_slope_5(ts_kurt_10(bar_gof_by_volume_w10_mean)))
290,"ta_lr_angle_5(ta_minus_dm_14(ts_max_10(bar_ofi_signed_quote_sum_w10_trend), ts_range_5(bar_ofi_signed_quote_sum_w10_std)))"
291,"ta_tsf_10(ts_delta_17(ts_kurt_10(ta_cci_14(ts_kurt_20(bar_gof_by_volume_w10_std), ta_trix_8(bar_ofi_signed_quote_sum_w10_quantile), ts_prod_3(bar_ofi_signed_qty_sum_w10_mean)))))"
292,ts_kurt_20(ts_std_20(bar_gof_by_volume_w10_std))
293,"ta_cmo_25(ta_aroonosc_14(bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_quantile))"
294,"TA_BOP(sqrt(bar_gof_by_count_w10_trend), ta_cci_25(bar_gof_by_volume_w10_std, bar_ofi_signed_qty_sum_w10_std, bar_ofi_signed_qty_sum_w10_std), ts_sum_17(bar_ofi_signed_quote_sum_w10_mean), ts_argmin_5(bar_gof_by_volume_w10_mean))"
295,ts_kurt_10(ta_lr_intercept_10(bar_ofi_signed_quote_sum_w10_quantile))
296,"ta_aroonosc_14(ta_ema_21(cos(ts_argmin_5(ts_min_10(bar_gof_by_volume_w10_std)))), ts_sum_3(bar_ofi_signed_quote_sum_w10_zscore))"
297,"div(ts_delta_17(sub(bar_ofi_signed_qty_sum_w10_trend, bar_gof_by_volume_w10_mean)), ta_mfi_14(bar_gof_by_volume_w10_trend, ta_lr_slope_10(bar_ofi_signed_quote_sum_w10_quantile), ts_delta_3(bar_ofi_signed_quote_sum_w10_zscore), ta_tsf_20(bar_gof_by_count_w10_trend)))"
298,ta_lr_angle_5(ts_argmax_10(cos(ts_std_20(ts_prod_8(bar_gof_by_volume_w10_mean)))))
299,"ts_kurt_10(ta_atr_14(ta_rsi_12(ts_mean_return_5(log(bar_ofi_signed_quote_sum_w10_zscore))), TS_COV_20(ts_argrange_20(TS_COV_40(bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_zscore)), TS_COV_20(ta_lr_intercept_10(bar_gof_by_volume_w10_mean), ta_minus_di_25(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_quantile))), TA_HT_DCPERIOD(ta_dema_55(ts_kurt_10(bar_ofi_signed_quote_sum_w10_quantile)))))"
300,"min(ta_lr_slope_5(ts_delta_17(bar_ofi_signed_quote_sum_w10_std)), ta_mom_25(ta_tema_21(bar_gof_by_count_w10_trend)))"
301,"ts_delta_3(ta_lr_angle_10(ta_cmo_14(ta_beta_20(bar_ofi_signed_quote_sum_w10_momentum, bar_ofi_signed_quote_sum_w10_trend))))"
302,ta_ema_8(ta_rocp_14(log(bar_ofi_signed_quote_sum_w10_trend)))
303,ts_lag_3(ta_rocp_25(bar_ofi_signed_quote_sum_w10_momentum))
304,"TA_TRANGE(ta_willr_14(ta_lr_angle_10(bar_gof_by_volume_w10_mean), ta_lr_intercept_20(bar_ofi_signed_quote_sum_w10_momentum), ta_cmo_14(bar_ofi_signed_quote_sum_w10_zscore)), ts_max_10(ta_lr_intercept_5(bar_ofi_signed_quote_sum_w10_trend)), ta_beta_10(ta_beta_5(bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_mean), ts_delta_8(bar_ofi_signed_quote_sum_w10_mean)))"
