,expression
124,"ts_rank_10(TS_COV_20(ta_lr_slope_10(ta_dx_25(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_momentum)), ta_ema_8(ts_delta_8(bar_gof_by_volume_w10_std))))"
125,"TA_TRANGE(abs(ta_beta_10(min(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_volume_w10_trend), ts_argrange_20(bar_ofi_signed_quote_sum_w10_zscore))), ts_mean_return_5(neg(TS_CORR_40(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_volume_w10_std))), ta_minus_dm_14(max(ts_min_20(bar_ofi_signed_quote_sum_w10_mean), max(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_count_w10_trend)), ta_ema_8(ta_dema_8(bar_gof_by_volume_w10_mean))))"
126,ts_skew_20(ts_sum_17(cos(bar_ofi_signed_quote_sum_w10_trend)))
127,"ta_lr_slope_5(ta_dema_8(ts_skew_10(TA_TRANGE(ta_cmo_14(bar_ofi_signed_qty_sum_w10_trend), ta_lr_angle_20(bar_ofi_signed_quote_sum_w10_zscore), ts_delta_3(bar_ofi_signed_quote_sum_w10_mean)))))"
128,"TA_TRANGE(inv(ta_mom_25(ts_std_10(bar_ofi_signed_quote_sum_w10_std))), ts_max_10(ts_wma_55(ts_kurt_20(bar_gof_by_volume_w10_std))), ts_min_20(ts_mean_return_5(ta_cci_14(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_trend))))"
129,"ta_willr_25(ts_sum_17(bar_gof_by_volume_w10_trend), ta_atr_14(bar_gof_by_volume_w10_std, bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_std), ta_lr_slope_5(bar_ofi_signed_quote_sum_w10_std))"
130,"abs(ta_willr_14(ts_delta_17(ts_rank_20(ta_lr_angle_10(bar_ofi_signed_qty_sum_w10_mean))), ta_lr_slope_10(add(ts_mean_return_10(bar_ofi_signed_quote_sum_w10_quantile), abs(bar_ofi_signed_quote_sum_w10_trend))), ta_rocr_14(ta_mom_25(ts_sma_55(bar_ofi_signed_qty_sum_w10_trend)))))"
131,"ts_lag_3(mul(ta_rocr_25(bar_gof_by_volume_w10_mean), add(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_qty_sum_w10_trend)))"
132,ts_range_10(ts_skew_20(bar_gof_by_volume_w10_std))
133,"ts_skew_20(ta_minus_di_25(ta_lr_intercept_20(bar_gof_by_count_w10_std), ta_beta_20(bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_trend), ta_mom_12(bar_gof_by_volume_w10_mean)))"
134,ta_mom_12(ts_argmax_10(ta_rsi_6(ts_std_40(ts_argrange_10(ta_lr_intercept_20(bar_ofi_signed_quote_sum_w10_std))))))
135,ts_argmax_20(bar_gof_by_count_w10_mean)
136,"TA_BOP(ts_lag_17(bar_gof_by_count_w10_mean), ts_range_20(bar_ofi_signed_quote_sum_w10_std), ta_tema_8(bar_ofi_signed_quote_sum_w10_std), ta_cci_14(bar_ofi_signed_quote_sum_w10_momentum, bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_momentum))"
137,ts_argmax_10(TA_HT_DCPERIOD(ts_argmin_5(ts_argrange_5(ts_argmin_20(ta_lr_angle_20(bar_ofi_signed_quote_sum_w10_std))))))
138,"ta_beta_10(ta_lr_intercept_10(bar_ofi_signed_quote_sum_w10_quantile), ta_rsi_12(ta_lr_slope_20(TA_SAR(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_qty_sum_w10_mean))))"
139,"elu(ta_tema_8(ta_trix_8(ts_argmin_10(TS_CORR_20(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_count_w10_mean)))))"
140,ts_kurt_10(ts_argmin_5(ta_trix_21(sqrt(ts_argmax_5(bar_gof_by_count_w10_trend)))))
141,"tan(ta_cci_25(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_mean, bar_gof_by_count_w10_mean))"
142,abs(ta_rocp_14(bar_ofi_signed_quote_sum_w10_zscore))
143,ta_lr_angle_5(ta_tsf_5(ta_lr_angle_10(ts_argmax_10(bar_ofi_signed_quote_sum_w10_zscore))))
144,sin(inv(ta_tsf_10(bar_ofi_signed_quote_sum_w10_zscore)))
145,"TA_BOP(ta_cmo_25(bar_gof_by_volume_w10_mean), cos(bar_ofi_signed_quote_sum_w10_zscore), div(bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_trend), ta_tema_55(bar_ofi_signed_quote_sum_w10_zscore))"
146,"ta_mom_25(sin(ta_beta_10(bar_ofi_signed_quote_sum_w10_std, bar_gof_by_count_w10_std)))"
147,"sub(ta_ema_55(ta_lr_angle_20(ta_atr_25(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_trend))), ts_max_20(ts_mean_return_5(ts_range_20(bar_gof_by_volume_w10_mean))))"
148,"ta_cci_14(ta_tsf_20(tanh(ta_tema_21(ts_max_5(bar_gof_by_volume_w10_std)))), ta_trima_8(ta_cmo_25(bar_ofi_signed_quote_sum_w10_zscore)), ta_rsi_24(bar_gof_by_volume_w10_trend))"
149,"ta_aroonosc_25(ts_argrange_5(inv(ta_dema_21(bar_ofi_signed_qty_sum_w10_std))), ta_beta_10(ta_aroonosc_25(ta_dema_55(bar_ofi_signed_quote_sum_w10_mean), ta_rocp_14(bar_gof_by_count_w10_std)), ts_delta_17(bar_ofi_signed_quote_sum_w10_momentum)))"
150,ts_rank_5(ta_rocr_14(ts_kurt_40(bar_gof_by_count_w10_std)))
151,"ta_beta_10(ts_mean_return_10(bar_ofi_signed_quote_sum_w10_momentum), sin(bar_ofi_signed_qty_sum_w10_mean))"
152,"ts_delta_17(ta_beta_20(bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_mean))"
153,"ts_argrange_5(ts_mean_return_20(ts_wma_55(ta_cci_25(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_mean))))"
154,"cos(TA_TRANGE(bar_gof_by_count_w10_mean, bar_gof_by_volume_w10_mean, ts_argmin_20(bar_gof_by_count_w10_trend)))"
155,ts_argmin_20(ts_range_5(ta_rocr_25(ta_mom_25(bar_gof_by_volume_w10_std))))
156,ts_skew_10(ta_ema_21(ts_kurt_10(bar_ofi_signed_qty_sum_w10_std)))
157,ts_mean_return_10(ts_argrange_5(ta_rocp_25(ta_lr_angle_10(ta_mom_12(bar_ofi_signed_quote_sum_w10_zscore)))))
158,"ta_cci_25(ta_beta_10(ta_mom_12(bar_gof_by_count_w10_trend), cos(bar_gof_by_count_w10_mean)), ts_argrange_5(abs(bar_ofi_signed_quote_sum_w10_zscore)), ta_rocr_14(bar_gof_by_volume_w10_trend))"
159,"ts_skew_20(TS_CORR_40(ta_aroonosc_25(ta_lr_slope_10(bar_gof_by_volume_w10_std), ts_min_5(bar_ofi_signed_quote_sum_w10_momentum)), ta_dx_14(ta_rsi_24(bar_gof_by_volume_w10_mean), ta_lr_angle_10(bar_ofi_signed_quote_sum_w10_trend), ts_argmin_20(bar_ofi_signed_quote_sum_w10_zscore))))"
160,"ta_beta_10(ta_lr_intercept_20(bar_ofi_signed_quote_sum_w10_std), ta_tema_8(ts_argmin_5(ta_lr_angle_10(bar_ofi_signed_quote_sum_w10_quantile))))"
161,"ts_delta_17(TA_SAR(sub(ts_min_10(bar_ofi_signed_quote_sum_w10_trend), ts_max_20(bar_gof_by_volume_w10_mean)), ts_kurt_20(ts_argmin_10(bar_ofi_signed_qty_sum_w10_trend))))"
162,"ta_cmo_25(ta_lr_slope_20(ta_willr_25(ts_argrange_20(bar_gof_by_volume_w10_mean), ta_tema_21(bar_gof_by_volume_w10_std), mul(bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_quote_sum_w10_trend))))"
163,"TA_TRANGE(TS_CORR_40(ts_sma_21(bar_ofi_signed_qty_sum_w10_mean), ts_wma_21(bar_gof_by_count_w10_std)), bar_gof_by_volume_w10_mean, ts_skew_20(TA_HT_DCPHASE(bar_ofi_signed_qty_sum_w10_mean)))"
164,"ta_rocr_14(ts_delta_8(ts_mean_return_5(ta_atr_25(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_count_w10_std, bar_ofi_signed_qty_sum_w10_trend))))"
165,"ta_lr_slope_20(ta_mfi_14(ts_lag_3(ts_wma_21(bar_gof_by_volume_w10_trend)), ta_rocp_25(ta_dema_8(bar_gof_by_volume_w10_trend)), ts_argmin_10(ts_argrange_20(bar_ofi_signed_quote_sum_w10_std)), ta_lr_slope_5(ts_delta_3(bar_gof_by_count_w10_std))))"
166,ts_wma_21(ta_trima_8(ts_argrange_5(bar_ofi_signed_quote_sum_w10_trend)))
167,ts_skew_10(ts_sma_55(bar_ofi_signed_quote_sum_w10_mean))
168,ta_lr_angle_5(ts_max_20(bar_ofi_signed_quote_sum_w10_quantile))
169,ts_argmax_20(ta_cmo_14(ts_kurt_10(ts_max_10(ta_tsf_10(bar_gof_by_count_w10_mean)))))
170,ts_prod_3(ts_kurt_10(bar_gof_by_count_w10_mean))
171,ts_rank_20(ts_range_5(bar_gof_by_volume_w10_std))
172,"ta_beta_20(ta_aroonosc_25(ts_range_20(bar_ofi_signed_qty_sum_w10_mean), ts_lag_8(bar_ofi_signed_quote_sum_w10_trend)), elu(ts_argrange_5(ta_cmo_25(bar_ofi_signed_quote_sum_w10_momentum))))"
173,"ts_delta_17(inv(ta_beta_5(bar_gof_by_volume_w10_mean, bar_ofi_signed_quote_sum_w10_mean)))"
174,inv(ta_trima_8(ta_rocp_14(bar_gof_by_count_w10_trend)))
175,"ta_cmo_25(ts_range_5(ta_rsi_6(min(ts_sma_8(ts_max_20(bar_gof_by_volume_w10_trend)), ts_std_20(bar_ofi_signed_quote_sum_w10_momentum)))))"
176,inv(ts_mean_return_5(ts_sma_55(ts_std_40(bar_ofi_signed_qty_sum_w10_mean))))
177,log(ts_prod_8(ts_min_5(ts_argmax_10(bar_ofi_signed_quote_sum_w10_quantile))))
178,"TA_SAR(ts_sum_17(ta_lr_intercept_20(bar_ofi_signed_qty_sum_w10_std)), ts_skew_20(ts_skew_40(bar_gof_by_volume_w10_mean)))"
179,ta_lr_angle_10(inv(ts_sma_8(bar_gof_by_count_w10_mean)))
180,"ta_lr_angle_5(TS_CORR_40(bar_gof_by_volume_w10_mean, bar_ofi_signed_quote_sum_w10_std))"
181,"ts_argmax_20(TS_COV_20(sub(ta_dema_21(ts_lag_3(bar_gof_by_count_w10_trend)), ts_skew_40(TA_HT_DCPHASE(bar_ofi_signed_quote_sum_w10_momentum))), ta_rocr_25(ts_sma_21(TA_BOP(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_momentum, bar_gof_by_count_w10_mean, bar_gof_by_count_w10_mean)))))"
182,"ts_argmin_5(ts_prod_8(ts_min_5(ta_trima_21(TS_CORR_20(ts_max_5(ts_rank_20(bar_ofi_signed_qty_sum_w10_std)), sqrt(neg(bar_ofi_signed_quote_sum_w10_std)))))))"
183,ts_range_5(ta_dema_8(ts_mean_return_5(ta_mom_25(bar_ofi_signed_qty_sum_w10_mean))))
184,ts_kurt_20(ta_tema_8(ts_min_10(bar_gof_by_count_w10_std)))
185,"ta_beta_20(ta_dema_8(ts_lag_8(TA_HT_DCPERIOD(ts_argrange_10(bar_ofi_signed_qty_sum_w10_mean)))), inv(ts_lag_8(ts_kurt_10(bar_ofi_signed_qty_sum_w10_std))))"
186,ts_argmax_10(ts_kurt_10(ta_dema_8(ts_sma_55(bar_ofi_signed_qty_sum_w10_mean))))
187,"neg(TA_BOP(ts_rank_20(ts_rank_10(bar_gof_by_count_w10_trend)), ta_trima_8(ts_kurt_20(bar_ofi_signed_quote_sum_w10_std)), elu(ta_lr_slope_20(bar_gof_by_volume_w10_mean)), ts_argmax_20(ts_kurt_10(bar_gof_by_count_w10_trend))))"
188,"sin(ta_cmo_14(ta_cmo_25(add(div(bar_gof_by_count_w10_std, bar_gof_by_count_w10_mean), ts_rank_5(bar_ofi_signed_quote_sum_w10_mean)))))"
189,"mul(ts_argmax_10(ta_lr_intercept_5(ta_dema_55(bar_gof_by_count_w10_mean))), ta_dema_8(ta_mom_12(min(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_trend))))"
190,ta_mom_12(bar_ofi_signed_quote_sum_w10_trend)
191,"ts_range_5(ta_lr_slope_10(ta_minus_dm_14(ta_trima_8(bar_gof_by_volume_w10_trend), ts_sum_17(bar_ofi_signed_qty_sum_w10_trend))))"
192,"TA_BOP(ta_aroonosc_14(ts_std_20(ta_trix_8(bar_ofi_signed_qty_sum_w10_trend)), ta_lr_slope_20(bar_ofi_signed_qty_sum_w10_mean)), ts_rank_10(ta_lr_intercept_5(ta_beta_20(bar_gof_by_count_w10_std, bar_gof_by_count_w10_mean))), TS_CORR_20(sub(ts_delta_3(bar_gof_by_volume_w10_mean), ts_sum_17(bar_gof_by_count_w10_std)), ts_std_20(ta_minus_di_25(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_quote_sum_w10_momentum, bar_gof_by_count_w10_std))), ta_lr_angle_20(ta_cmo_25(ts_argmin_20(bar_gof_by_count_w10_mean))))"
193,ts_delta_3(ts_min_5(ts_delta_17(cos(ts_argrange_20(bar_ofi_signed_qty_sum_w10_trend)))))
194,"ta_mom_25(ta_cci_25(ta_trix_55(inv(bar_ofi_signed_quote_sum_w10_momentum)), ts_delta_8(bar_gof_by_volume_w10_trend), ta_lr_angle_10(ta_mfi_25(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_mean))))"
195,ts_argrange_10(ta_rocp_14(ts_argmin_20(bar_ofi_signed_quote_sum_w10_zscore)))
196,"mul(ta_tsf_5(abs(TS_CORR_40(bar_gof_by_volume_w10_trend, bar_gof_by_count_w10_mean))), ts_lag_3(div(ts_sma_55(abs(bar_gof_by_count_w10_mean)), ta_minus_dm_14(ts_min_20(bar_ofi_signed_quote_sum_w10_mean), ta_minus_di_25(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_mean)))))"
197,neg(ts_argmax_5(elu(log(bar_gof_by_count_w10_mean))))
198,"ta_lr_angle_5(ts_sma_8(min(ts_argmin_20(bar_gof_by_volume_w10_mean), ta_mfi_14(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_momentum, bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_count_w10_mean))))"
199,"TA_TRANGE(inv(ts_kurt_10(ta_dema_8(bar_ofi_signed_quote_sum_w10_std))), ts_wma_21(ta_trima_21(ta_dema_8(bar_gof_by_volume_w10_trend))), ts_rank_5(ts_skew_10(ts_sma_8(bar_ofi_signed_quote_sum_w10_momentum))))"
200,"ts_prod_8(ts_argmin_5(sub(bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_std)))"
201,"ta_beta_5(bar_ofi_signed_quote_sum_w10_momentum, ts_lag_3(bar_ofi_signed_quote_sum_w10_std))"
202,"ts_rank_5(TS_COV_20(tan(bar_ofi_signed_quote_sum_w10_mean), ts_argmin_5(bar_gof_by_count_w10_trend)))"
203,ts_kurt_10(ta_rsi_6(bar_gof_by_volume_w10_trend))
204,"ta_mfi_14(ta_trima_8(ts_sum_17(ts_argrange_20(ta_aroonosc_14(bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_momentum)))), ta_ema_21(ts_skew_10(TA_TRANGE(ts_prod_17(bar_gof_by_count_w10_std), ts_sum_17(bar_ofi_signed_qty_sum_w10_mean), ta_cci_25(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_quantile)))), ta_rsi_6(ta_tsf_10(ts_prod_17(ta_dema_55(bar_ofi_signed_qty_sum_w10_mean)))), ta_lr_slope_10(ts_min_10(ta_cci_14(ts_range_5(bar_gof_by_count_w10_trend), ta_beta_5(bar_ofi_signed_quote_sum_w10_std, bar_gof_by_count_w10_trend), ta_mfi_25(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_qty_sum_w10_trend)))))"
205,"ts_delta_3(ta_willr_25(ta_dx_14(ta_trix_8(ts_kurt_40(bar_ofi_signed_qty_sum_w10_trend)), ta_mom_12(max(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_trend)), ta_willr_14(ts_sum_8(bar_ofi_signed_quote_sum_w10_mean), TS_CORR_20(bar_ofi_signed_quote_sum_w10_std, bar_gof_by_volume_w10_trend), ts_rank_5(bar_gof_by_volume_w10_mean))), ts_sma_55(ts_wma_21(ta_lr_angle_10(bar_ofi_signed_quote_sum_w10_momentum))), ts_prod_17(ts_range_10(ta_rsi_6(bar_ofi_signed_quote_sum_w10_trend)))))"
206,"ta_trix_8(TS_COV_40(bar_ofi_signed_qty_sum_w10_trend, bar_gof_by_count_w10_mean))"
207,tan(ts_argrange_20(ts_std_40(ts_kurt_10(ts_lag_17(bar_gof_by_volume_w10_trend)))))
208,"ta_rocp_14(tan(TA_BOP(bar_gof_by_volume_w10_trend, ta_rocp_25(bar_ofi_signed_qty_sum_w10_std), bar_ofi_signed_qty_sum_w10_trend, ta_lr_angle_10(bar_gof_by_count_w10_trend))))"
209,ta_rocr_14(ta_lr_slope_10(ts_argmax_20(bar_ofi_signed_quote_sum_w10_zscore)))
210,ta_lr_slope_10(ta_lr_slope_10(ta_lr_intercept_10(ts_rank_10(bar_ofi_signed_quote_sum_w10_momentum))))
211,ta_lr_angle_10(ts_prod_17(bar_gof_by_count_w10_std))
212,"ts_argrange_20(ta_minus_di_14(ts_argmin_20(bar_gof_by_volume_w10_trend), ts_lag_8(bar_ofi_signed_quote_sum_w10_std), ta_minus_dm_14(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_zscore)))"
213,"ts_argmax_10(ts_min_5(ta_lr_angle_10(ta_dx_25(ta_cmo_25(bar_ofi_signed_quote_sum_w10_mean), ta_ema_8(bar_ofi_signed_quote_sum_w10_momentum), bar_gof_by_count_w10_mean))))"
214,log(ts_skew_10(ts_rank_10(ta_mom_25(ts_mean_return_5(bar_gof_by_volume_w10_mean)))))
215,"ts_delta_17(ta_aroonosc_14(ts_std_20(ta_cmo_14(ta_lr_slope_20(max(tan(bar_gof_by_count_w10_trend), ta_tsf_10(bar_ofi_signed_quote_sum_w10_mean))))), ta_tema_55(inv(bar_gof_by_count_w10_trend))))"
216,ta_lr_angle_20(ta_cmo_14(ts_std_20(bar_gof_by_count_w10_mean)))
217,"ta_lr_slope_5(log(tanh(ts_rank_20(ts_delta_17(ta_minus_dm_25(bar_gof_by_volume_w10_trend, bar_ofi_signed_qty_sum_w10_trend))))))"
218,"ta_trix_8(ts_delta_17(ta_atr_14(ta_rsi_6(bar_ofi_signed_quote_sum_w10_momentum), bar_gof_by_count_w10_mean, ta_rocp_14(bar_ofi_signed_quote_sum_w10_momentum))))"
219,"add(log(ta_lr_angle_20(bar_gof_by_count_w10_std)), cos(abs(bar_gof_by_volume_w10_std)))"
220,ts_argrange_5(ts_rank_5(ts_wma_21(bar_ofi_signed_quote_sum_w10_momentum)))
221,ts_mean_return_10(ts_argmax_20(ts_skew_40(bar_ofi_signed_quote_sum_w10_trend)))
222,ts_kurt_10(ta_lr_angle_20(bar_gof_by_volume_w10_std))
223,ts_prod_8(elu(ts_argmax_20(bar_gof_by_count_w10_mean)))
224,ta_rocp_25(ts_range_10(ts_argmin_10(bar_ofi_signed_qty_sum_w10_std)))
225,ts_sum_3(ts_range_10(ts_mean_return_5(ta_trima_21(ts_argmax_20(bar_gof_by_count_w10_mean)))))
226,"ta_mfi_14(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_momentum)"
227,"TS_COV_20(ts_sum_17(ta_tsf_10(bar_ofi_signed_qty_sum_w10_std)), ts_range_10(mul(mul(bar_gof_by_count_w10_mean, bar_gof_by_volume_w10_std), ta_lr_intercept_10(bar_ofi_signed_qty_sum_w10_std))))"
228,"ts_argmax_10(ta_rsi_6(ta_cci_25(ts_sum_8(ts_delta_17(bar_gof_by_count_w10_std)), ts_lag_3(ts_lag_17(bar_gof_by_volume_w10_mean)), ts_prod_17(ta_dema_8(bar_ofi_signed_qty_sum_w10_trend)))))"
229,"ts_skew_40(ta_dx_25(ts_delta_3(bar_ofi_signed_quote_sum_w10_mean), ta_mfi_25(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_mean), ta_rocp_25(bar_ofi_signed_quote_sum_w10_zscore)))"
230,"ts_kurt_20(add(ts_wma_55(bar_ofi_signed_quote_sum_w10_zscore), inv(ta_dema_8(sqrt(TS_CORR_20(ta_dx_14(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_trend), ta_dema_8(bar_gof_by_count_w10_trend)))))))"
231,"mul(add(ts_range_20(ts_argmax_5(bar_ofi_signed_quote_sum_w10_momentum)), ta_rocp_14(log(bar_gof_by_count_w10_mean))), ts_argmin_5(ts_argrange_10(ts_argrange_5(ta_dema_8(bar_gof_by_volume_w10_mean)))))"
232,ts_argmax_5(ts_skew_20(tan(bar_ofi_signed_quote_sum_w10_momentum)))
233,"ta_willr_14(log(ta_rsi_12(bar_gof_by_volume_w10_mean)), ts_min_5(bar_gof_by_volume_w10_trend), ts_argmax_20(ts_sum_8(add(ts_prod_17(bar_ofi_signed_quote_sum_w10_quantile), TA_BOP(bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_volume_w10_std)))))"
234,tan(ts_argmin_10(ts_lag_3(bar_ofi_signed_qty_sum_w10_std)))
235,ts_skew_10(ts_argmin_5(ta_trix_8(bar_ofi_signed_qty_sum_w10_trend)))
236,ts_skew_10(ta_mom_25(ts_argrange_20(ts_delta_3(ta_dema_8(ta_trima_8(bar_ofi_signed_qty_sum_w10_mean))))))
237,log(ta_tema_8(ts_argrange_20(bar_gof_by_volume_w10_trend)))
238,tan(ts_std_10(ts_skew_10(sin(bar_gof_by_volume_w10_mean))))
239,"mul(ta_tsf_5(abs(ta_lr_intercept_10(log(bar_ofi_signed_qty_sum_w10_trend)))), ts_lag_3(div(ts_sma_55(abs(bar_gof_by_count_w10_mean)), ta_minus_dm_14(ts_min_20(bar_ofi_signed_quote_sum_w10_mean), ta_minus_di_25(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_mean)))))"
240,"ta_beta_10(ts_max_20(bar_gof_by_count_w10_trend), ts_range_20(bar_ofi_signed_quote_sum_w10_mean))"
241,"ts_argmin_5(ts_std_40(sqrt(ta_aroonosc_14(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_trend))))"
242,ta_lr_intercept_20(ts_prod_8(inv(ta_tema_8(bar_ofi_signed_quote_sum_w10_mean))))
243,"TS_CORR_20(ta_lr_angle_5(ts_min_10(ts_argmin_10(ta_rocr_25(bar_ofi_signed_quote_sum_w10_trend)))), TS_COV_40(ts_delta_8(ta_aroonosc_25(ta_aroonosc_14(bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_momentum), ts_range_20(bar_ofi_signed_quote_sum_w10_zscore))), ta_aroonosc_14(ta_ema_21(TA_HT_DCPERIOD(bar_ofi_signed_quote_sum_w10_quantile)), ta_minus_di_14(ta_beta_10(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_zscore), ta_cmo_25(bar_gof_by_count_w10_mean), ts_argmin_5(bar_ofi_signed_qty_sum_w10_trend)))))"
244,inv(ts_kurt_20(ta_ema_8(bar_ofi_signed_quote_sum_w10_mean)))
245,"TA_TRANGE(ta_dema_8(TS_CORR_20(bar_ofi_signed_qty_sum_w10_std, bar_ofi_signed_quote_sum_w10_quantile)), ta_rocr_14(ta_aroonosc_14(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_count_w10_trend)), inv(ts_max_10(bar_ofi_signed_qty_sum_w10_trend)))"
246,ts_argrange_5(ts_max_20(bar_gof_by_count_w10_mean))
247,"ta_aroonosc_25(ts_kurt_40(ta_trima_21(bar_gof_by_count_w10_mean)), ts_wma_8(sub(bar_gof_by_count_w10_mean, bar_ofi_signed_qty_sum_w10_std)))"
248,ta_rocr_14(tanh(ta_cmo_14(bar_ofi_signed_quote_sum_w10_quantile)))
249,ta_rocr_25(ta_lr_slope_5(ts_argmax_5(ta_trima_8(bar_ofi_signed_qty_sum_w10_std))))
250,"ta_cci_14(ts_std_40(ta_minus_di_25(ts_skew_10(TA_HT_DCPHASE(bar_ofi_signed_qty_sum_w10_std)), bar_gof_by_volume_w10_trend, ts_delta_17(ts_argmax_5(bar_ofi_signed_qty_sum_w10_trend)))), ta_atr_14(TA_HT_DCPERIOD(ta_cci_14(abs(bar_ofi_signed_quote_sum_w10_mean), ts_argmin_20(bar_gof_by_volume_w10_mean), TS_COV_20(bar_gof_by_volume_w10_trend, bar_ofi_signed_qty_sum_w10_mean))), TA_SAR(ta_tema_21(ta_rocp_25(bar_gof_by_count_w10_std)), ts_max_10(ta_tema_21(bar_ofi_signed_quote_sum_w10_momentum))), ta_trima_21(ta_dema_21(bar_ofi_signed_quote_sum_w10_quantile))), ts_argmin_5(bar_gof_by_volume_w10_mean))"
251,"ta_willr_14(bar_gof_by_volume_w10_trend, ta_tsf_5(ta_dema_55(ts_rank_5(bar_ofi_signed_qty_sum_w10_std))), bar_ofi_signed_quote_sum_w10_quantile)"
252,"ta_willr_25(ta_dx_25(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_qty_sum_w10_mean), ts_prod_8(bar_gof_by_volume_w10_mean), ta_cci_14(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_trend))"
253,"sub(ta_tsf_5(ta_trix_55(bar_ofi_signed_quote_sum_w10_momentum)), ta_mom_25(ta_lr_slope_10(bar_ofi_signed_qty_sum_w10_std)))"
254,abs(ts_lag_8(bar_gof_by_count_w10_trend))
255,"ta_cci_14(ts_std_40(bar_gof_by_volume_w10_trend), TA_HT_DCPERIOD(bar_ofi_signed_qty_sum_w10_trend), ts_max_5(bar_gof_by_count_w10_mean))"
256,"ts_kurt_10(ts_argrange_20(ta_aroonosc_14(ts_rank_20(bar_gof_by_volume_w10_trend), bar_ofi_signed_quote_sum_w10_zscore)))"
257,ts_rank_5(ts_std_20(bar_gof_by_count_w10_std))
258,ta_lr_intercept_10(ts_mean_return_5(bar_gof_by_volume_w10_mean))
